,minutes,bonus,bps,total_points,output_clean_sheets
52608,90,0,10,5,1
53231,80,3,31,9,1
53860,90,0,15,5,0
54473,90,0,-1,2,0
55068,73,0,10,2,0
55706,9,0,2,1,0
56326,42,0,3,1,0
56848,0,0,0,0,0
57554,0,0,0,0,0
58001,82,0,-1,1,0
58650,12,0,4,1,0
59388,12,0,2,1,0
60077,0,0,0,0,0
60779,0,0,0,0,0
61445,0,0,0,0,0
62306,1,0,3,1,0
63179,0,0,0,0,0
63950,0,0,0,0,0
63951,17,0,0,1,0
64927,0,0,0,0,0
66151,0,0,0,0,0
66903,45,0,1,1,0
67701,0,0,0,0,0
67702,0,0,0,0,0
68519,0,0,0,0,0
69277,0,0,0,0,0
70190,90,0,3,2,0
71326,0,0,0,0,0
72024,62,0,4,2,0
72650,45,0,0,1,0
73226,29,0,15,4,0
73812,69,0,5,2,0
74408,76,0,8,2,0
75011,85,3,34,9,0
75627,82,0,1,2,0
76158,70,0,4,2,0
76695,30,0,2,1,0
77336,65,0,4,2,0
77978,73,0,5,2,0
78592,87,0,8,2,1
79207,72,0,5,2,0
79861,0,0,0,0,0
80521,26,0,6,1,0
81185,58,0,0,1,0
81856,6,0,2,1,0
82532,1,0,2,1,0
83247,26,0,3,1,0
84051,29,0,4,1,0
84823,83,0,3,2,0
85582,9,0,3,1,0
86398,0,0,0,0,0
87177,31,0,3,1,0
87917,8,0,1,1,0
88672,27,0,-5,0,0
89502,14,0,2,1,0
89503,0,0,0,0,0
90221,0,0,0,0,0
91088,0,0,0,0,0
92070,0,0,0,0,0
92826,0,0,0,0,0
93513,76,0,3,1,0
94198,75,0,5,2,0
95056,20,0,2,1,0
95937,14,0,8,1,0
96733,8,0,3,1,0
97620,0,0,0,0,0
98476,27,0,25,5,0
100032,0,0,0,0,0
100698,0,0,0,0,0
101398,0,0,0,0,0
102112,0,0,0,0,0
102830,0,0,0,0,0
22993,0,0,0,0,0
23532,0,0,0,0,0
24086,0,0,0,0,0
24648,0,0,0,0,0
25414,0,0,0,0,0
26004,0,0,0,0,0
26603,0,0,0,0,0
27203,0,0,0,0,0
27804,0,0,0,0,0
28389,0,0,0,0,0
28950,0,0,0,0,0
29557,0,0,0,0,0
30164,0,0,0,0,0
30775,0,0,0,0,0
31342,0,0,0,0,0
31862,0,0,0,0,0
32945,0,0,0,0,0
33801,0,0,0,0,0
34448,0,0,0,0,0
35103,0,0,0,0,0
35768,0,0,0,0,0
36484,0,0,0,0,0
37258,0,0,0,0,0
37259,0,0,0,0,0
38139,0,0,0,0,0
39116,0,0,0,0,0
39857,0,0,0,0,0
40433,0,0,0,0,0
40820,0,0,0,0,0
41507,0,0,0,0,0
42200,0,0,0,0,0
42856,0,0,0,0,0
43417,0,0,0,0,0
44167,0,0,0,0,0
45077,0,0,0,0,0
45691,0,0,0,0,0
46399,0,0,0,0,0
46973,0,0,0,0,0
47528,0,0,0,0,0
48095,0,0,0,0,0
48672,0,0,0,0,0
49271,0,0,0,0,0
49877,0,0,0,0,0
50488,0,0,0,0,0
51101,26,0,2,1,0
51719,0,0,0,0,0
52337,13,0,6,1,0
52960,89,0,13,2,0
53585,71,0,9,1,0
54216,90,0,16,3,1
54790,90,0,5,2,1
55426,90,0,11,2,0
